ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
11855,0.052,0.000,0.068,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:152(dot_action)
11658,0.007,0.000,0.066,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:271(<genexpr>)
12,0.001,0.000,0.063,0.005,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:126(compute_phi)
436/403,0.000,0.000,0.061,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:706(__set__)
475/442,0.001,0.000,0.061,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:688(set)
15475,0.014,0.000,0.059,0.000,/usr/lib/python3.10/site-packages/numpy/core/numeric.py:149(ones)
72,0.001,0.000,0.058,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/notebook.py:149(display)
9099,0.005,0.000,0.057,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:79(_repr_)
233/200,0.001,0.000,0.056,0.000,/usr/lib/python3.10/site-packages/traitlets/traitlets.py:1373(_notify_trait)
3505,0.004,0.000,0.056,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:113(tuple_to_weight)
133,0.001,0.000,0.055,0.000,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:676(notify_change)
6,0.000,0.000,0.055,0.009,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget_string.py:29(__init__)
8215,0.043,0.000,0.053,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:1079(_element_constructor_)
67,0.000,0.000,0.053,0.001,/home/rik/.sage/local/lib/python3.10/site-packages/tqdm/std.py:1339(refresh)
9099,0.005,0.000,0.052,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_space.py:95(_name_string)
93,0.001,0.000,0.048,0.001,/usr/lib/python3.10/site-packages/ipywidgets/widgets/widget.py:538(send_state)
12,0.001,0.000,0.048,0.004,/home/rik/git/bgg-cohomology/bggcohomology/quantum_center.py:327(<dictcomp>)
22848,0.047,0.000,0.047,0.000,{method 'reduce' of 'numpy.ufunc' objects}
9099,0.019,0.000,0.047,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:235(_name_string_helper)
