ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
180,0.001,0.000,6.678,0.037,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2160(sum)
110226305,6.262,0.000,6.262,0.000,stringsource:345(__cinit__)
2885775,6.031,0.000,6.031,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:124(<genexpr>)
1824660,4.054,0.000,5.704,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:23(atleast_1d)
52,0.000,0.000,5.669,0.109,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:46(from_bgg)
52,0.003,0.000,5.669,0.109,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:60(__init__)
52,0.119,0.002,5.649,0.109,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:126(get_action_dic)
116247,4.894,0.000,5.240,0.000,{method 'row' of 'sage.matrix.matrix_integer_dense.Matrix_integer_dense' objects}
110226305,5.128,0.000,5.128,0.000,stringsource:372(__dealloc__)
42970607,5.099,0.000,5.099,0.000,{method 'items' of 'dict' objects}
3566,4.353,0.001,4.916,0.001,bggcohomology/cohomology.pyx:292(dok_to_sage_sparse)
3173814,4.832,0.000,4.832,0.000,{method 'sort' of 'numpy.ndarray' objects}
83767056,4.759,0.000,4.760,0.000,stringsource:976(__dealloc__)
577088,0.218,0.000,4.753,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3786(is_dominant)
577088,0.695,0.000,4.535,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3630(first_descent)
20895958,2.918,0.000,4.525,0.000,stringsource:393(get_item_pointer)
20,0.001,0.000,4.284,0.214,/home/rik/git/bgg-cohomology/bggcohomology/bggcomplex.py:264(compute_maps)
52185974,4.201,0.000,4.201,0.000,{method 'append' of 'list' objects}
84547004,4.144,0.000,4.144,0.000,bggcohomology/cohomology.pyx:54(check_equal)
31200,0.397,0.000,4.020,0.000,/home/rik/git/bgg-cohomology/bggcohomology/weight_set.py:97(weight_to_tuple)
1009410,1.176,0.000,4.004,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/root_lattice_realizations.py:3596(has_descent)
41667589,3.937,0.000,3.937,0.000,/usr/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2399(_all_dispatcher)
81940162,3.855,0.000,3.855,0.000,stringsource:518(__getbuffer__)
3173814,3.829,0.000,3.829,0.000,{method 'copy' of 'numpy.ndarray' objects}
175571,3.698,0.000,3.793,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:819(_element_constructor_)
83763490,3.672,0.000,3.672,0.000,stringsource:559(__get__)
20,0.000,0.000,3.051,0.153,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:55(__init__)
29335,2.968,0.000,2.968,0.000,bggcohomology/cohomology.pyx:63(col_nonzero)
223570,0.392,0.000,2.578,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:5825(_element_constructor_)
20895958,2.306,0.000,2.306,0.000,stringsource:666(_unellipsify)
994614,2.011,0.000,2.298,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/ambient_space.py:368(inner_product)
223570,2.025,0.000,2.186,0.000,/usr/lib/python3.10/site-packages/sage/modules/free_module.py:1079(_element_constructor_)
2149406,2.072,0.000,2.072,0.000,{built-in method numpy.array}
326575,0.767,0.000,2.042,0.000,/usr/lib/python3.10/site-packages/sage/matrix/matrix_space.py:513(__classcall__)
180,0.015,0.000,1.624,0.009,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:173(construct_component)
26356980,1.618,0.000,1.618,0.000,bggcohomology/cohomology.pyx:107(permutation_sign)
1825050,0.629,0.000,1.613,0.000,/usr/lib/python3.10/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
20895958,1.607,0.000,1.607,0.000,stringsource:910(pybuffer_index)
3379282,1.572,0.000,1.572,0.000,{built-in method numpy.empty}
109955,0.067,0.000,1.524,0.000,<__array_function__ internals>:177(zeros_like)
15731/12123,0.016,0.000,1.474,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:945(linear_combination)
15731/12123,0.041,0.000,1.455,0.000,{built-in method sage.data_structures.blas_dict.linear_combination}
33464/24710,0.015,0.000,1.413,0.000,/usr/lib/python3.10/site-packages/sage/combinat/free_module.py:969(<genexpr>)
33728,0.694,0.000,1.374,0.000,/usr/lib/python3.10/site-packages/sage/combinat/root_system/weyl_group.py:810(action)
109955,0.162,0.000,1.334,0.000,/usr/lib/python3.10/site-packages/numpy/core/numeric.py:76(zeros_like)
1938779,1.319,0.000,1.319,0.000,{built-in method numpy.zeros}
26462815,1.271,0.000,1.271,0.000,stringsource:663(memoryview_check)
20,0.006,0.000,1.232,0.062,/home/rik/git/bgg-cohomology/bggcohomology/compute_maps.py:176(solve)
270,0.003,0.000,1.130,0.004,/home/rik/git/bgg-cohomology/bggcohomology/la_modules.py:849(build_component)
11897232,0.990,0.000,0.990,0.000,{built-in method numpy.asanyarray}
